Sr.no,Theater Name,City,District,State,Circuit Name,Property Type,Theater Type,Integrator
1,Central Plaza (Girgaon),Mumbai,Mumbai,Maharashtra,Mumbai,Single Screen,DCI,SEL
2,Galaxy Paradise Screen 2 (Bengaluru),Bangalore,Bangalore,Karnataka,Mysore,Independent,Non DCI,UFO
3,Murali Chitra Mandir,Bangalore,Bangalore,Karnataka,Mysore,Single Screen,DCI,UFO
4,Laxmi Cinema (Titagarh),Titagarh,North Twenty Four Parganas,West Bengal,Eastern Circuit,ACPL - Eqpt. Leased,Non DCI,UFO
5,Abhishek Cinema (Kudus),Thane,Thane,Maharashtra,Mumbai,Single Screen,Non DCI,UFO
6,Mahaveer Theatre (Maddhur),Maddur,Mandya,Karnataka,Mysore,Single Screen,Non DCI,UFO
7,Thrishul Theatre ( Davangere),Davanagere,Davanagere,Karnataka,Mysore,Single Screen,DCI,UFO
8,Trinetra Theatre (Davangere),Davanagere,Davanagere,Karnataka,Mysore,Single Screen,DCI,UFO
9,Seethas Theatre (Alapuzha),Alappuzha,Alappuzha,Kerala,Kerala,Single Screen,DCI,UFO
10,Khans Cinema (Karunagapally),Karunagappilly,Kollam,Kerala,Kerala,Single Screen,Non DCI,UFO
11,Gita Cinema (Mahishadal),Mahishadal,Medinipur,West Bengal,Eastern Circuit,ACPL - Eqpt. Leased,Non DCI,UFO
12,Durgapur Cinema (Durgapur),Durgapur,Barddhaman,West Bengal,Eastern Circuit,Single Screen,Non DCI,UFO
13,Manoj Cinema (Asansol),Asansol,Barddhaman,West Bengal,Eastern Circuit,Single Screen,Non DCI,UFO
14,KT Multivision (Boisar) Screen 2,Palghar,Palghar,Maharashtra,Mumbai,Independent,DCI,UFO
15,CARNIVAL FILMS PVT LTD - KT Multivision (Vasai) Screen 1,Palghar,Palghar,Maharashtra,Mumbai,Carnival Multiplex,Non DCI,UFO
16,Ramesh Theatre,Ramanathapuram,Ramanathapuram,Tamil Nadu,Tamil Nadu,Sony Screens Pvt Ltd.,DCI,UFO
17,New Raj Talkies,Tilda,Raipur,Chhattisgarh,CP/Berar,Single Screen,Non DCI,UFO
18,Niharika Chitra Mandir Audi 1 (Korba),Korba,Korba,Chhattisgarh,CP/Berar,Nova Cinema,DCI,UFO
19,Lali Cinema,Barasat,North Twenty Four Parganas,West Bengal,Eastern Circuit,Single Screen,Non DCI,UFO
20,Anupama Cinema,Jagdalpur,Bastar,Chhattisgarh,CP/Berar,Single Screen,Non DCI,UFO
21,New Narendra Theatre Deluxe,Jagdalpur,Bastar,Chhattisgarh,CP/Berar,Single Screen,Non DCI,UFO
22,Mahesh Chitra Mandir (Brahma),Raigad,Raigad,Maharashtra,Mumbai,Single Screen,Non DCI,UFO
23,Trimurti Cinema,Champa,Janjgir-Champa,Chhattisgarh,CP/Berar,Single Screen,DCI,UFO
24,Gold Digitech Theaters Pvt. Ltd: Audi 2,Beawar,Ajmer,Rajasthan,Rajasthan,Gold Digitech,DCI,SEL
25,Naaz Cinema (Kheda),Kheda,Kheda,Gujarat,Mumbai,Single Screen,Non DCI,UFO
26,Ankita Multiplex Red Audi-3 (Burhanpur),Burhanpur,Burhanpur,Madhya Pradesh,CP/Berar,Nova Cinema,Non DCI,UFO
27,Kantishiva Multiplex Screen 3 (Betul),Betul,Betul,Madhya Pradesh,CP/Berar,Nova Cinema,Non DCI,UFO
28,Prithvi Theatre ( Nagavara),Bangalore,Bangalore,Karnataka,Mysore,Single Screen,DCI,UFO
29,Alankar Chitra (Shirpur),Shirpur,Dhule,Maharashtra,CP/Berar,Single Screen,Non DCI,UFO
30,Ram Nivas Talkies (Raigarh),Raigarh,Raigarh,Chhattisgarh,CP/Berar,Single Screen,DCI,UFO
31,MSM Cinema (Kumbakonam),Kumbakonam,Thanjavur,Tamil Nadu,Tamil Nadu,Single Screen,Non DCI,UFO
32,PVR Crown Plaza Faridabad Audi 1,Faridabad,Faridabad,Haryana,East Punjab,PVR Cinemas,DCI,UFO
33,Carnival Films Pvt Ltd: Sangam Audi 1 (Nagpur),Nagpur,Nagpur,Maharashtra,CP/Berar,Carnival Multiplex,DCI,UFO
34,Vaibhav Chitra Mandir (Hadapsar) - Screen 1,Pune,Pune,Maharashtra,Mumbai,Independent,Non DCI,UFO
35,Mukta A2 Cinema Ltd - Meenaxi Chitra Mandir (Selu),Parbhani,Parbhani,Maharashtra,Nizam,Mutka A2 Cinemas Ltd,Non DCI,UFO
36,Mukta A2 Cinemas Ltd Nupur Cinetorium (Aurangabad) Audi 1,Aurangabad,Aurangabad,Maharashtra,Nizam,Mutka A2 Cinemas Ltd,Non DCI,UFO
37,Durgesh Chitra Mandir,Pendra Road,Bilaspur,Chhattisgarh,CP/Berar,Single Screen,Non DCI,UFO
38,GOPY TALKIES,Raigarh,Raigarh,Chhattisgarh,CP/Berar,Single Screen,Non DCI,UFO
39,Royal Talkies (Kolhapur),Kolhapur,Kolhapur,Maharashtra,Mumbai,Single Screen,Non DCI,UFO
40,Dreamland Cinema-Porbunder,Porbandar,Porbandar,Gujarat,Mumbai,Single Screen,Non DCI,UFO
41,Bluestar Cinema C/o Maruti Enterprise,Junagadh,Junagadh,Gujarat,Mumbai,Single Screen,Non DCI,UFO
42,Ramakanthi Talkies (Mangalore),Mangalore,Dakshina Kannada,Karnataka,Mysore,Single Screen,Non DCI,UFO
43,Ashok Chitramandir (Pune),Pune,Pune,Maharashtra,Mumbai,Single Screen,DCI,SEL
44,Aurora Talkies (Midnapur),Kharagpur,Medinipur,West Bengal,Eastern Circuit,ACPL - Eqpt. Leased,Non DCI,UFO
45,Bhavani Cinema (Cooch Behar),Cooch Behar,Koch Bihar,West Bengal,Eastern Circuit,ACPL - Eqpt. Sold,Non DCI,UFO
46,Jayanti Cinema Screen 2 (Red) -[Barrackpore],Barrackpore,North Twenty Four Pa,West Bengal,Eastern Circuit,Independent,Non DCI,UFO
47,Nabin Cinema (Malda),Malda,Maldah,West Bengal,Eastern Circuit,ACPL - Eqpt. Leased,Non DCI,UFO
48,Sri Ramajayem Theatre (Tirupattur),Thirupathur,Vellore,Tamil Nadu,Tamil Nadu,Single Screen,DCI,UFO
49,Sri Ganapathy Talkies (ooty),Ooty,Nilgris,Tamil Nadu,Tamil Nadu,Single Screen,Non DCI,UFO
50,Diana Theater,Udupi,Udupi,Karnataka,Mysore,Single Screen,Non DCI,UFO
51,Kalpana Theater,Udupi,Udupi,Karnataka,Mysore,Single Screen,Non DCI,UFO
52,Chitra Cinema Audi No 1 (Korba),Korba,Korba,Chhattisgarh,CP/Berar,Independent,DCI,UFO
53,Liberty Cinema,Mumbai,Mumbai,Maharashtra,Mumbai,Single Screen,DCI,UFO
54,Jaihind Talkies (Umbergaon),Umbergaon,Valsad,Gujarat,Mumbai,Single Screen,Non DCI,UFO
55,Shevanta Theater (Junner),Junnar,Pune,Maharashtra,Mumbai,Single Screen,Non DCI,UFO
56,Varadaraja Theatre,Mulbagal,Kolar,Karnataka,Mysore,Single Screen,Non DCI,UFO
57,Manoranjan Chitr Mandir (Shahda),Shahda,Nandurbar,Maharashtra,CP/Berar,Single Screen,DCI,UFO
58,Vimal Talkies,Dhamtari,Dhamtari,Chhattisgarh,CP/Berar,Single Screen,DCI,UFO
59,PRABHAT TALKIES,Raipur,Raipur,Chhattisgarh,CP/Berar,Nova Cinema,Non DCI,UFO
60,Shivam Talkies Audi 1 (Vasco),Vasco Da Gama,South Goa,Goa,Mumbai,Independent,DCI,UFO
61,Sudama Theatre - Nagpur,Nagpur,Nagpur,Maharashtra,CP/Berar,Single Screen,DCI,SEL
62,Balraj Cinema Screen 1 (Nabha),Nabha,Patiala,Punjab,East Punjab,Independent,Non DCI,UFO
63,Surabhi Movie House Audi 1 (Chalakudy),Chalakudy,Thrissur,Kerala,Kerala,Independent,DCI,UFO
64,Mehaboob Theatre (Kasaragod),Kasaragod,Kasargod,Kerala,Kerala,Single Screen,Non DCI,UFO
65,Mohan Theatre (Nashik),Malegaon,Nashik,Maharashtra,Mumbai,Single Screen,DCI,UFO
66,Sri Vasavi Theatre ( Bagalkot),Bagalkot,Bagalkot,Karnataka,Mumbai,Single Screen,Non DCI,UFO
67,Sangeetha Theatre (Peddapalli),Karimnagar,Karimnagar,Telangana,Nizam,Single Screen,DCI,UFO
68,Swaroop talkies (Durg),Durg,Durg,Chhattisgarh,CP/Berar,Single Screen,DCI,UFO
69,Barkha Theatre (Yavatmal),Pusad,Yavatmal,Maharashtra,CP/Berar,Single Screen,Non DCI,UFO
70,Sri Vajreshwari Theatre,Bangalore,Bangalore,Karnataka,Mysore,Single Screen,Non DCI,UFO
71,Paradise Digital Movie House (Ponkunnam),Kottayam,Kottayam,Kerala,Kerala,Single Screen,Non DCI,UFO
72,Venkatramana Megaplex (Kachiguda),Hyderabad,Hyderabad,Telangana,Nizam,Independent,DCI,UFO
73,Jay Bharath Theatre (Tumkur),Tumkur,Tumkur,Karnataka,Mysore,Single Screen,DCI,UFO
74,Abhinay Theatre (Banagalore),Bangalore,Bangalore,Karnataka,Mysore,Single Screen,DCI,UFO
75,Aiswarya - Athulya Theatre Audi 1 (Sulthan Bathery,Sulthan Bathery,Wayanad,Kerala,Kerala,Independent,DCI,UFO
76,Sree Krishna Talkies (Manjeri ),Manjeri,Malappuram,Kerala,Kerala,Single Screen,Non DCI,UFO
77,Triveni Theatre (Bangalore),Bangalore,Bangalore,Karnataka,Mysore,Single Screen,DCI,UFO
78,Shanthala Chitra Mandira,Madhugiri,Tumkur,Karnataka,Mysore,Single Screen,Non DCI,UFO
79,SJS Chandrakala ( Kampli),Hospet,Bellary,Karnataka,Mysore,Single Screen,Non DCI,UFO
80,Navarang Theatre,Bangalore,Bangalore,Karnataka,Mysore,Single Screen,DCI,UFO
